label,config,n_nonzero,rmse_mean,rmse_std,divario_in_dispersioni,mae_mean,r2_mean
Forward stepwise selection,k=15,15.0,19.84859550183314,1.448683217770911,0.0,15.489306994022474,0.7598361147444517
Best subset selection,k=15,15.0,19.848595501833145,1.448683217770914,0.0,15.48930699402248,0.7598361147444517
Backward stepwise selection,k=15,15.0,19.848595501833145,1.448683217770914,0.0,15.48930699402248,0.7598361147444517
Ridge,alpha=1778,19.0,19.88186911728864,1.4487799388672395,0.02,15.714973394878935,0.7588347881183233
Elastic Net,"alpha=0.1265, l1_ratio=0.05",19.0,19.88964032861062,1.4539644433528662,0.03,15.75830992612367,0.7586663435315902
Lasso,alpha=0.1842,15.0,19.919334204273245,1.458839892756735,0.05,15.650600329628048,0.7578588393926246
Regressione sulle componenti principali,n_components=19,19.0,19.934353229674223,1.462708619848886,0.06,15.619570770419305,0.7574442371381309
Regressione lineare multipla,nessun iperparametro,19.0,19.934353229674223,1.4627086198488848,0.06,15.6195707704193,0.7574442371381309
Regressione sul solo numero di ciclo,baseline,1.0,35.116392875210266,2.6448117304438967,7.16,27.53391431944592,0.2436986988884737
Predizione costante,baseline,0.0,40.72951635327887,0.6507487992345734,18.59,35.548959995243266,-0.0070002087024855
