subset,method,rmse_mean,rmse_std,n_fit,n_valid_rows_mean
FD001,validation_set,20.29060453994193,1.4962687450654926,20,6171.9
FD001,leave_one_unit_out,19.29827437381607,6.515914066852605,100,206.31
FD001,kfold_5,20.34521944370695,1.183344430224618,15,4126.2
FD001,kfold_10,20.18756023925687,2.434799674720612,30,2063.1
FD001,bootstrap,20.365067387111417,1.0460705007075868,200,7463.8
FD003,validation_set,19.55642683811988,1.1277634004546766,20,7589.3
FD003,leave_one_unit_out,19.57415208415687,6.33215357455623,100,247.2
FD003,kfold_5,19.934353229674223,1.4627086198488848,15,4944.0
FD003,kfold_10,19.739227018695775,2.5166453806617586,30,2472.0
FD003,bootstrap,20.003902116309295,0.9341883969147152,200,8985.685
