label,blocco,model,FD001_rango,FD001_rmse_mean,FD001_rmse_std,FD001_divario_in_dispersioni,FD003_rango,FD003_rmse_mean,FD003_rmse_std,FD003_divario_in_dispersioni
Percettrone multistrato,Metodi a margine e reti,mlp,1,16.58077738090125,1.3955022929293248,0.0,1,14.042110172887716,1.056928682431698,0.0
Foresta casuale,Famiglia ad albero,random_forest,2,16.594991086206722,1.461714726052238,0.01,5,14.701185322024946,1.214982078570727,0.58
XGBoost,Famiglia ad albero,xgboost,3,16.7011412302653,1.3612447451958138,0.09,2,14.55752607981364,1.1083137809757015,0.48
Gradient boosting,Famiglia ad albero,gradient_boosting,4,16.708522143352873,1.3658039806718254,0.09,3,14.578151409731197,1.136059295825964,0.49
Bagging di alberi,Famiglia ad albero,bagging,5,16.894466678780198,1.4352071290546051,0.22,6,14.938252520701754,1.1051195655556283,0.83
"SVR, kernel radiale",Metodi a margine e reti,svr_rbf,6,16.960917655434557,1.4108012886289485,0.27,4,14.675922928166866,1.36637585230459,0.52
AdaBoost,Famiglia ad albero,adaboost,7,16.9663998213527,1.265215531828192,0.29,7,15.520887998725083,1.176271622006909,1.32
Modello additivo generalizzato,Superamento della linearita',gam,8,17.462329226156385,1.2061915781068864,0.68,9,15.945531144649989,1.0917546856303442,1.77
Regression spline,Superamento della linearita',spline,9,17.46799754536286,1.1858140431113977,0.69,8,15.914276053764754,1.0974651246939109,1.74
Step functions,Superamento della linearita',step_functions,10,17.69189272386789,1.2043195525056984,0.85,10,16.095433238118655,1.080293305738448,1.92
Regressione polinomiale,Superamento della linearita',polynomial,11,17.7518080339106,1.2810430151488077,0.87,11,16.43929677031008,1.0199972895779468,2.31
Albero di regressione potato,Famiglia ad albero,tree,12,18.480329760564977,1.2678146850781482,1.42,12,16.87085065576091,1.1265305807617,2.59
"SVR, kernel lineare",Metodi a margine e reti,svr_linear,13,20.32026803269804,1.1151073566881924,2.96,13,19.826376866261008,1.5184211207915954,4.42
Ridge,Modelli lineari,ridge,14,20.326974161087016,1.137096777203085,2.94,17,19.88186911728864,1.4487799388672395,4.61
Elastic Net,Modelli lineari,elastic_net,15,20.32903388417386,1.1254295529714604,2.96,18,19.88964032861062,1.4539644433528662,4.6
Backward stepwise selection,Modelli lineari,backward_stepwise,16,20.34498991206653,1.1832488422931158,2.91,15,19.848595501833145,1.448683217770914,4.58
Forward stepwise selection,Modelli lineari,forward_stepwise,17,20.34498991206653,1.1832488422931215,2.91,14,19.84859550183314,1.448683217770911,4.58
Best subset selection,Modelli lineari,best_subset,18,20.34498991206653,1.1832488422931158,2.91,16,19.848595501833145,1.448683217770914,4.58
Lasso,Modelli lineari,lasso,19,20.345049998924,1.1816125509291058,2.91,19,19.919334204273245,1.458839892756735,4.61
Regressione lineare multipla,Modelli lineari,ols,20,20.34521944370695,1.183344430224618,2.91,20,19.934353229674223,1.4627086198488848,4.62
Regressione sulle componenti principali,Modelli lineari,pcr,21,20.35345029223353,1.1733087341853516,2.93,21,19.934353229674223,1.462708619848886,4.62
"SVR, kernel polinomiale",Metodi a margine e reti,svr_poly,22,23.354282037551588,0.9261220489161724,5.72,22,26.33517002452136,2.6689653590488507,6.06
Regressione sul solo numero di ciclo,Baseline,baseline_solo_ciclo,23,27.87823796074896,2.466999459821219,5.64,23,35.116392875210266,2.6448117304438967,10.46
Predizione costante,Baseline,baseline_costante,24,41.69369866169996,0.135296042154274,25.33,24,40.72951635327887,0.6507487992345734,30.41
