sottoinsieme,modello,rmse,dispersione,riferimento_precedente,rmse_riferimento,guadagno_cicli,guadagno_in_dispersioni
FD001,Albero di regressione potato,18.480329760564977,1.2678146850781482,Modello additivo generalizzato,17.462329226156385,-1.0180005344085927,-0.8227019491560397
FD001,Bagging di alberi,16.894466678780198,1.4352071290546051,Modello additivo generalizzato,17.462329226156385,0.5678625473761869,0.42836403861986494
FD001,Foresta casuale,16.594991086206722,1.461714726052238,Modello additivo generalizzato,17.462329226156385,0.8673381399496627,0.6472395081821766
FD001,AdaBoost,16.9663998213527,1.265215531828192,Modello additivo generalizzato,17.462329226156385,0.49592940480368597,0.4012192309127003
FD001,Gradient boosting,16.708522143352873,1.3658039806718254,Modello additivo generalizzato,17.462329226156385,0.7538070828035117,0.5850396897056865
FD001,XGBoost,16.7011412302653,1.3612447451958138,Modello additivo generalizzato,17.462329226156385,0.7611879958910848,0.5918773249675673
FD003,Albero di regressione potato,16.87085065576091,1.1265305807617,Regression spline,15.914276053764754,-0.9565746019961576,-0.8601571656983409
FD003,Bagging di alberi,14.938252520701754,1.1051195655556283,Regression spline,15.914276053764754,0.9760235330629996,0.8862475469688318
FD003,Foresta casuale,14.701185322024946,1.214982078570727,Regression spline,15.914276053764754,1.2130907317398076,1.047831312824025
FD003,AdaBoost,15.520887998725083,1.176271622006909,Regression spline,15.914276053764754,0.39338805503967045,0.34582014297110675
FD003,Gradient boosting,14.578151409731197,1.136059295825964,Regression spline,15.914276053764754,1.336124644033557,1.1962485887924668
FD003,XGBoost,14.55752607981364,1.1083137809757015,Regression spline,15.914276053764754,1.3567499739511142,1.2301627884554882
