insieme,n_clusters,metodo,linkage,silhouette,ari_vs_kmeans,dimensione_minima,dimensione_massima,ari_vs_reference
FD001,2,kmeans,,0.2597508501232013,1.0,36,64,
FD001,2,agglomerative,ward,0.239813813253064,0.7023021574268552,42,58,
FD001,2,agglomerative,complete,0.2012875745817384,0.0309792981940977,50,50,
FD001,2,agglomerative,average,0.1631397400121244,-0.0236196448604272,3,97,
FD001,3,kmeans,,0.2410899668379145,1.0,32,34,
FD001,3,agglomerative,ward,0.1983817527764326,0.6437033696509601,26,42,
FD001,3,agglomerative,complete,0.2020772880905624,0.411264043577647,15,50,
FD001,3,agglomerative,average,0.2053942664297697,0.460229058413262,3,56,
FD001,4,kmeans,,0.2321439657642928,1.0,13,31,
FD001,4,agglomerative,ward,0.2063453539037894,0.725148855889477,15,32,
FD001,4,agglomerative,complete,0.2194099729037675,0.7378898557448643,15,35,
FD001,4,agglomerative,average,0.1845508703515475,0.5545725461484017,3,56,
FD001,5,kmeans,,0.2025918603939055,1.0,8,30,
FD001,5,agglomerative,ward,0.2035399048624974,0.6531247134419905,6,32,
FD001,5,agglomerative,complete,0.2072577180922157,0.6937334088536158,3,32,
FD001,5,agglomerative,average,0.2066643698966572,0.7200159060446397,3,30,
FD001,6,kmeans,,0.1686504676905736,1.0,8,22,
FD001,6,agglomerative,ward,0.1547239165620451,0.6259212054097778,6,27,
FD001,6,agglomerative,complete,0.2071106126395437,0.5983999645789461,3,32,
FD001,6,agglomerative,average,0.207706790565762,0.6090737219021738,3,30,
FD003,2,kmeans,,0.5334421024780315,1.0,44,56,
FD003,2,agglomerative,ward,0.5334421024780315,1.0,44,56,
FD003,2,agglomerative,complete,0.4545434267988755,0.0054535716024735,1,99,
FD003,2,agglomerative,average,0.4545434267988755,0.0054535716024735,1,99,
FD003,3,kmeans,,0.4787280893687704,1.0,16,44,
FD003,3,agglomerative,ward,0.4770877319167358,0.9763084068476144,15,44,
FD003,3,agglomerative,complete,0.5342652544738764,0.7231306476770032,1,56,
FD003,3,agglomerative,average,0.5342652544738764,0.7231306476770032,1,56,
FD003,4,kmeans,,0.483316541842767,1.0,1,43,
FD003,4,agglomerative,ward,0.4816241603037441,0.9760799853659592,1,43,
FD003,4,agglomerative,complete,0.4747160648327498,0.9526439403643174,1,43,
FD003,4,agglomerative,average,0.4747160648327498,0.9526439403643174,1,43,
FD003,5,kmeans,,0.4064692275779746,1.0,1,43,
FD003,5,agglomerative,ward,0.3968971439307597,0.9117381896862604,1,43,
FD003,5,agglomerative,complete,0.3976189509140606,0.9137951742112154,1,43,
FD003,5,agglomerative,average,0.4064815326789571,0.7889335948066,1,43,
FD003,6,kmeans,,0.2491077131384349,1.0,1,32,
FD003,6,agglomerative,ward,0.2218761064173054,0.7978552333889894,1,31,
FD003,6,agglomerative,complete,0.3911807271265375,0.6399064235761488,1,43,
FD003,6,agglomerative,average,0.3844167263204861,0.5735920266339674,1,43,
unione,2,kmeans,,0.5517559321268807,1.0,44,156,0.1908089006502832
unione,2,agglomerative,ward,0.5517559321268807,1.0,44,156,0.1908089006502832
unione,2,agglomerative,complete,0.6120954246846011,0.0252277019573416,1,199,0.0
unione,2,agglomerative,average,0.6120954246846011,0.0252277019573416,1,199,0.0
unione,3,kmeans,,0.4048191899001534,1.0,44,102,0.1398523888213556
unione,3,agglomerative,ward,0.3964464464699831,0.8884373043956144,44,101,0.1399325741903871
unione,3,agglomerative,complete,0.55007769568635,0.4807645379057318,1,156,0.1864763780619466
unione,3,agglomerative,average,0.55007769568635,0.4807645379057318,1,156,0.1864763780619466
