subset,regime,label,rmse_mean,rmse_std,rango_nel_regime,divario_in_dispersioni
FD001,censurato,Percettrone multistrato,16.58077738090125,1.3955022929293248,1,0.0
FD001,censurato,Foresta casuale,16.594991086206722,1.461714726052238,2,0.009946665028530498
FD001,censurato,Modello additivo generalizzato,17.462329226156385,1.2061915781068864,3,0.6758883690610048
FD001,censurato,Ridge,20.326974161087016,1.137096777203085,4,2.9431013519650597
FD001,censurato,Regressione sul solo numero di ciclo,27.87823796074896,2.466999459821219,5,5.636935720585886
FD001,censurato,Predizione costante,41.69369866169996,0.135296042154274,6,25.33087057628886
FD001,non censurato,Percettrone multistrato,37.137750637619355,5.680539299529996,1,0.0
FD001,non censurato,Modello additivo generalizzato,37.18210760370399,5.843844003154667,2,0.007697160389140009
FD001,non censurato,Foresta casuale,37.2036296911248,6.209251146733924,3,0.011070677207711052
FD001,non censurato,Ridge,40.79681633245255,5.520086359883485,4,0.6533010592120084
FD001,non censurato,Regressione sul solo numero di ciclo,46.49657515267184,7.561668697538826,5,1.3994343758233116
FD001,non censurato,Predizione costante,68.72659589718963,4.3120697953419675,6,6.263974968578542
FD003,censurato,Percettrone multistrato,14.042110172887716,1.056928682431698,1,0.0
FD003,censurato,Foresta casuale,14.701185322024946,1.214982078570727,2,0.5787956453175149
FD003,censurato,Modello additivo generalizzato,15.945531144649989,1.0917546856303442,3,1.7714764619114889
FD003,censurato,Ridge,19.88186911728864,1.4487799388672395,4,4.605192008798611
FD003,censurato,Regressione sul solo numero di ciclo,35.116392875210266,2.6448117304438967,5,10.46406479152367
FD003,censurato,Predizione costante,40.72951635327887,0.6507487992345734,6,30.407472983884876
FD003,non censurato,Percettrone multistrato,56.55719311477942,10.26434657901686,1,0.0
FD003,non censurato,Foresta casuale,58.08466094830682,10.479430600613158,2,0.147262065095079
FD003,non censurato,Modello additivo generalizzato,60.04450128680253,12.13734005701632,3,0.3102608005172484
FD003,non censurato,Ridge,62.026177254848555,11.461802014283208,4,0.5026842441029479
FD003,non censurato,Regressione sul solo numero di ciclo,85.79759059009926,17.81580614330306,5,2.0111823486836546
FD003,non censurato,Predizione costante,97.31875727049636,14.9443279238133,6,3.1796019870933305
